model,total,full_valid,generic_valid,nofb_valid,full_pass,generic_pass,nofb_pass,full_pass_rate,generic_pass_rate,nofb_pass_rate,full_minus_generic,generic_minus_nofb,generic_feedback_used_ops,full_attempts_path,generic_attempts_path,nofb_attempts_path
gpt-5.4,114,114,114,108,60,55,33,52.63,48.25,28.95,5,22,0,results\rq_gpt_5_4_full_oracle_fixed\attempts.jsonl,results\rq3_ablation_generic_feedback\gpt-5.4_full_114_attempt5\attempts.jsonl,results\rq3_ablation_no_feedback\gpt-5.4_full_114_attempt5\attempts.jsonl
gpt-5.4-mini,114,114,114,103,52,45,39,45.61,39.47,34.21,7,6,0,results\rq_gpt_5_4_mini_full_oracle_fixed\attempts.jsonl,results\rq3_ablation_generic_feedback\gpt-5.4-mini_full_114_attempt5\attempts.jsonl,results\rq3_ablation_no_feedback\gpt-5.4-mini_full_114_attempt5\attempts.jsonl
claude-opus-4-7,114,114,,103,70,,65,61.40,,57.02,,,,results\rq_claude_opus_4_7_full_oracle_fixed\attempts.jsonl,,results\rq3_ablation_no_feedback\claude-opus-4-7_full_114_attempt5\attempts.jsonl
qwen3-coder-plus,114,108,,106,58,,36,50.88,,31.58,,,,results\rq_qwen3_coder_plus_full_oracle_fixed\attempts.jsonl,,results\rq3_ablation_no_feedback\qwen3-coder-plus_full_114_attempt5\attempts.jsonl
qwen3-coder-flash,114,113,,64,39,,21,34.21,,18.42,,,,results\rq_qwen3_coder_flash_full_oracle_fixed\attempts.jsonl,,results\rq3_ablation_no_feedback\qwen3-coder-flash_full_114_attempt5\attempts.jsonl
