treatment,model,complete,total_operations,shared_initial_failures,completed_repair_branches,recovered_count,unrecovered_count,recovery_rate,final_valid_count,final_validity_rate,final_pass_count,final_pass_rate,total_generation_count,avg_generation_count,avg_extra_generations_per_failed_case,avg_extra_generations_per_recovery
none,gpt-5.5,True,114,5,5,2,3,40.0,111,97.36842105263158,102,89.47368421052632,129,1.131578947368421,3.0,7.5
generic,gpt-5.5,True,114,5,5,1,4,20.0,110,96.49122807017544,101,88.59649122807018,131,1.1491228070175439,3.4,17.0
full,gpt-5.5,True,114,5,5,5,0,100.0,114,100.0,104,91.2280701754386,124,1.087719298245614,2.0,2.0
